filename,yaml_name,model,tools,size_bytes,description
agent-warming/agent-prewarmer.md,agent-prewarmer,haiku,"Read, Grep, Glob",1318,Haiku worker that prewarms predicted agents before they're needed. Loads
agent-warming/project-context-analyzer.md,project-context-analyzer,haiku,"Read, Grep, Glob",1480,Haiku worker that analyzes project context to predict needed agents.
ai-ml/llm-cost-optimizer.md,llm-cost-optimizer,haiku,"Read, Grep, Glob",1726,"Lightweight specialist in LLM token usage optimization, caching strategies, model selection for cost"
ai-ml/ml-data-engineer.md,ml-data-engineer,sonnet,"Read, Write, Edit, Bash, Grep, Glob",1844,"Expert in ML feature engineering, data preprocessing, dataset management, and data quality for machi"
ai-ml/ml-monitoring-agent.md,ml-monitoring-agent,haiku,"Read, Write, Edit, Bash, Grep, Glob",2037,"Expert in ML model monitoring, drift detection, performance tracking, and alerting. Ensures producti"
batching/request-similarity-detector.md,request-similarity-detector,haiku,"Read, Grep, Glob",1267,Haiku worker that detects similar requests for batching. Groups requests
batching/result-distributor.md,result-distributor,opus,"Read, Grep, Glob",1073,Haiku worker that distributes batch results back to original requesters.
best-practices-enforcer.md,best-practices-enforcer,sonnet,"Read, Edit, Grep, Glob, Bash",3873,>
browser/apple-silicon-browser-optimizer.md,apple-silicon-browser-optimizer,haiku,"Read, Grep, Glob",6968,Bridge between browser agents and Apple Silicon engineering agents. Coordinates WebGPU→Metal optimiz
browser/chromium-feature-validator.md,chromium-feature-validator,sonnet,"Read, Grep, Glob",8909,"Haiku worker that validates Chrome 143+ feature usage, checks browser compatibility, and ensures gra"
browser/css-anchor-positioning-specialist.md,css-anchor-positioning-specialist,sonnet,"Read, Write, Edit, Grep, Glob",6800,"Expert in CSS anchor positioning for tooltips, popovers, dropdowns, and contextual overlays. Uses an"
browser/css-apple-silicon-optimizer.md,css-apple-silicon-optimizer,opus,"Read, Write, Edit, Bash, Grep, Glob",7501,Expert in CSS performance optimization for Apple Silicon Macs (M1/M2/M3/M4) with GPU-accelerated ani
browser/css-container-query-architect.md,css-container-query-architect,opus,"Read, Write, Edit, Grep, Glob",6900,"Expert in CSS container queries for component-level responsive design. Uses container-type, containe"
browser/css-modern-specialist.md,css-modern-specialist,sonnet,"Read, Write, Edit, Grep, Glob",9580,"Expert in Chrome 143+ CSS features including if(), @scope, nesting, scroll-driven animations, anchor"
browser/css-scroll-animation-specialist.md,css-scroll-animation-specialist,sonnet,"Read, Write, Edit, Grep, Glob",6581,"Expert in CSS scroll-driven animations, view() timeline, scroll() timeline, animation-range, and scr"
browser/devtools-mcp-specialist.md,devtools-mcp-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob",17420,"Expert in Chrome DevTools MCP Server automation, AI-assisted debugging workflows, CDP v0.9.0 pattern"
browser/native-api-analyzer.md,native-api-analyzer,haiku,"Read, Grep, Glob",11210,Haiku worker that analyzes codebase for library usage that can be replaced with native browser APIs 
browser/pwa-advanced-specialist.md,pwa-advanced-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob",12154,"Expert in advanced Chrome 143+ PWA capabilities beyond basic installability, including file handling"
browser/tailwind-v4-specialist.md,tailwind-v4-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",7763,"Expert in Tailwind CSS v4 with CSS-first configuration, @theme directive, native CSS nesting, Lightn"
browser/web-speech-specialist.md,web-speech-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob",13547,"Expert in Web Speech API with contextual biasing, voice UI patterns, speech recognition optimization"
browser/webgpu-compute-specialist.md,webgpu-compute-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob",13373,"Expert in WebGPU stable features including compute shaders, texture swizzle, and canvas acceleration"
bug-triager.md,bug-triager,sonnet,"Read, Grep, Glob, Bash",1513,>
cascading/cascade-optimizer.md,cascade-optimizer,haiku,"Task, Read, Write, Grep, Glob",3839,Haiku-tier agent that optimizes cascade decisions based on historical success rates and cost analysi
cascading/cascade-orchestrator.md,cascade-orchestrator,opus,"Task, Read, Write, Edit, Grep, Glob",6695,Haiku-tier orchestrator that manages tier cascading across the agent ecosystem for maximum cost effi
cascading/tier-cascader.md,tier-cascader,sonnet,"Read, Grep, Glob",3282,"Haiku worker that implements tier cascading - start with cheapest tier, escalate only if needed."
circuit-breaker/circuit-breaker-controller.md,circuit-breaker-controller,haiku,"Read, Grep, Glob",1320,Haiku worker that controls circuit breaker state transitions. Opens circuits
circuit-breaker/failure-rate-monitor.md,failure-rate-monitor,haiku,"Read, Grep, Glob",2834,Haiku worker that monitors agent failure rates and triggers circuit breaker
circuit-breaker/fallback-router.md,fallback-router,opus,"Read, Grep, Glob",1222,Haiku worker that routes requests to fallback agents when circuits are
code-generator.md,code-generator,sonnet,"Read, Edit, Grep, Glob, Bash",1628,>
compiler/agent-analyzer.md,agent-analyzer,haiku,"Read, Grep, Glob",3718,Haiku worker that performs static analysis on agent definitions to identify optimization opportuniti
compiler/agent-compiler-orchestrator.md,agent-compiler-orchestrator,opus,"Task, Read, Write, Edit, Bash, Grep, Glob",7704,Opus-tier meta-orchestrator that compiles agent definitions into optimized fast-path executables for
compiler/fast-path-generator.md,fast-path-generator,sonnet,"Task, Read, Write, Edit, Grep, Glob",4940,Sonnet-tier agent that generates optimized fast-paths for common agent execution patterns.
compression/adaptive-context-manager.md,adaptive-context-manager,haiku,"Task, Read, Write, Grep, Glob",3787,Haiku-tier agent that dynamically manages context compression based on task needs and token budgets.
compression/context-decompressor.md,context-decompressor,haiku,"Read, Grep, Glob",2597,Haiku worker that expands compressed context on-demand when full details are needed.
content/Copywriter.md,copywriter,sonnet,"Read, Write, Edit, Grep, Glob, WebSearch, WebFetch",21395,"Expert copywriter for persuasive marketing copy, conversion optimization,"
content/blog-writer.md,blog-writer,sonnet,"Read, Write, Edit, Grep, Glob, WebSearch, WebFetch",14718,Expert blog writer for technical and marketing content creation. Use
content/content-strategist.md,content-strategist,sonnet,"Read, Write, Edit, Grep, Glob, WebSearch, WebFetch",30100,"Expert content strategist for content planning, editorial calendars,"
content/social-media-manager.md,social-media-manager,sonnet,"Read, Write, Edit, Grep, Glob, WebSearch, WebFetch",24062,"Expert social media manager for multi-platform content strategy, community"
content/technical-documentation-writer.md,technical-documentation-writer,sonnet,"Read, Write, Edit, Grep, Glob",6215,"Expert technical writer for API documentation, README files, architecture"
data/data-analyst.md,data-analyst,haiku,"Read, Write, Bash, Grep, Glob, WebSearch",9466,"Expert data analyst for SQL queries, reporting, dashboards, and business"
data/data-scientist.md,data-scientist,haiku,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",13878,"Expert data scientist for statistical analysis, predictive modeling,"
data/web-scraping-specialist.md,web-scraping-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob, WebFetch, WebSearch",18793,"Expert in web scraping, data extraction, and automation. Specializes in Playwright, Puppeteer, Cheer"
debug/async-debugging-specialist.md,async-debugging-specialist,haiku,"Read, Write, Edit, Bash, Grep, Glob",9688,"Expert in debugging async JavaScript patterns including promises, async/await, generators, AsyncIter"
debug/chrome-devtools-debugger.md,chrome-devtools-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",8586,"Expert Chrome DevTools debugger for performance profiling, memory analysis, network debugging, and C"
debug/console-devtools-specialist.md,console-devtools-specialist,haiku,"Read, Write, Edit, Bash, Grep, Glob",7575,"Expert in Chrome DevTools Console API, logging strategies, structured logging, console-based debuggi"
debug/css-debugger.md,css-debugger,haiku,"Read, Write, Edit, Grep, Glob",8325,"Expert CSS debugger for layout issues, specificity conflicts, cascade problems, animation bugs, and "
debug/error-boundary-specialist.md,error-boundary-specialist,sonnet,"Read, Write, Edit, Grep, Glob",9444,"Expert in error boundaries, error handling patterns, graceful degradation, React error boundaries, g"
debug/esm-cjs-compatibility-debugger.md,esm-cjs-compatibility-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",8527,"Expert in debugging ESM/CommonJS interoperability issues, module resolution, package.json exports fi"
debug/indexeddb-debugger.md,indexeddb-debugger,sonnet,"Read, Write, Edit, Bash, Grep, Glob",9691,Expert in debugging IndexedDB and Dexie.js issues using Chrome DevTools.
debug/javascript-debugger.md,javascript-debugger,sonnet,"Read, Write, Edit, Bash, Grep, Glob",10530,"Expert JavaScript debugger for V8 engine internals, closures, async/await, promises, prototype chain"
debug/nodejs-debugger.md,nodejs-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",12279,"Expert Node.js debugger for server-side issues, memory leaks, async problems, event loop blocking, p"
debug/pwa-debugger.md,pwa-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",12943,"Expert PWA debugger for service worker issues, caching problems, offline behavior, installation fail"
debug/react-debugger.md,react-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",9663,"Expert React/Next.js debugger for component issues, state management bugs, hydration errors, perform"
debug/source-map-debugger.md,source-map-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",7688,"Expert in source map debugging, mapping issues, production debugging with source maps, sourceMapping"
debug/state-management-debugger.md,state-management-debugger,haiku,"Read, Write, Edit, Grep, Glob",9932,"Expert state management debugger for Zustand, Redux, React Context, and other state libraries with t"
dependency-analyzer.md,dependency-analyzer,haiku,"Read, Grep, Glob, Bash",1671,>
design/brand-designer.md,brand-designer,opus,"Read, Write, Grep, Glob, WebSearch",6745,"Expert brand designer for brand identity, visual guidelines, logo systems,"
design/creative-director.md,creative-director,haiku,"Read, Write, Edit, Grep, Glob, WebSearch",11740,"Senior creative leader overseeing brand campaigns, creative strategy, and visual direction. Speciali"
design/design-lead.md,design-lead,opus,"Read, Write, Edit, Grep, Glob, WebSearch",6132,"Design team orchestrator ensuring design consistency across UX, UI, and"
design/motion-designer.md,motion-designer,opus,"Read, Write, Edit, Grep, Glob",6975,"Expert motion designer for UI animations, micro-interactions, video graphics,"
design/ui-designer.md,ui-designer,opus,"Read, Write, Edit, Grep, Glob",7085,"Expert UI designer for visual design, component systems, typography,"
design/ux-designer.md,ux-designer,opus,"Read, Write, Grep, Glob, WebSearch",6729,"Expert UX designer for user flows, wireframes, information architecture,"
design/ux-researcher.md,ux-researcher,haiku,"Read, Write, Grep, Glob, WebSearch",6787,"Expert UX researcher for user interviews, usability testing, research"
design/web-designer.md,web-designer,opus,"Read, Write, Edit, Grep, Glob, WebSearch",11407,"Expert web designer specializing in responsive website design, landing pages, user interface design,"
devops/finops-specialist.md,finops-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob",4508,"Expert in cloud cost optimization, FinOps practices, reserved instances, spot strategies, and cloud "
devops/gitops-agent.md,gitops-agent,sonnet,"Read, Write, Edit, Bash, Grep, Glob",4423,"Expert in GitOps practices, ArgoCD, Flux, declarative deployments, and infrastructure as code workfl"
devops/platform-engineer.md,platform-engineer,sonnet,"Read, Write, Edit, Bash, Grep, Glob",4732,"Expert in internal developer platforms, developer experience, self-service infrastructure, and platf"
dmb-analyst.md,dmb-analyst,sonnet,"Read, Grep, Glob, Bash",1993,>
dmb-brand-dna-expert.md,dmb-brand-dna-expert,haiku,"Read, Write, Edit, Grep, Glob, WebFetch, WebSearch",9370,"Dave Matthews Band brand identity expert for official brand guidelines,"
dmb-chromium-optimizer.md,dmb-chromium-optimizer,sonnet,"Read, Write, Edit, Bash, Grep, Glob",15488,"Optimizes DMB Almanac PWA for Chromium 143+ features including View Transitions,"
dmb-compound-orchestrator.md,dmb-compound-orchestrator,opus,"Read, Write, Edit, Bash, Grep, Glob, Task",24241,Coordinates complex multi-agent DMB Almanac workflows including scrape-validate-import
dmb-data-validator.md,dmb-data-validator,sonnet,"Read, Bash, Grep, Glob",13833,Validates scraped data quality and consistency for the DMB Almanac database.
dmb-dexie-architect.md,dmb-dexie-architect,opus,"Read, Write, Edit, Bash, Grep, Glob",26019,Dexie.js 4.x schema architect for DMB Almanac. Expert in offline-first
dmb-drizzle-unwinder.md,dmb-drizzle-unwinder,sonnet,"Read, Write, Edit, Bash, Grep, Glob",10135,Extracts and transforms data from Drizzle ORM schemas to Dexie.js-compatible
